Time_s,Velocity_Smooth_m_s,Velocity_Uncertainty_m_s
2.595398436999999902e-06,7.013471521504386885e+01,2.706846051605182324e-01
2.595406250000000186e-06,7.025101431112067019e+01,2.706547843654061869e-01
2.595414062000000148e-06,7.036771093304844271e+01,2.706249739557256562e-01
2.595421875000000008e-06,7.048461823446666585e+01,2.705951662973517524e-01
2.595429686999999971e-06,7.060154787159558509e+01,2.705653690183865145e-01
2.595437499999999831e-06,7.071831003756923906e+01,2.705355744880703628e-01
2.595445311999999793e-06,7.083471351438095098e+01,2.705057903311468004e-01
2.595453125000000077e-06,7.095056574894387325e+01,2.704760089202158935e-01
2.595460937000000039e-06,7.106567295640108739e+01,2.704462378766677721e-01
2.595468750000000323e-06,7.117984025331705311e+01,2.704164695764603721e-01
2.595476562000000285e-06,7.129287182914940502e+01,2.703867116376294510e-01
2.595484374999999722e-06,7.140457115395150822e+01,2.703569564394929237e-01
2.595492187000000108e-06,7.151474123269139227e+01,2.703272115967267353e-01
2.595499999999999968e-06,7.162318490508080515e+01,2.702974694920082244e-01
2.595507811999999930e-06,7.172970519778179721e+01,2.702589122985463721e-01
2.595515625000000214e-06,7.183410573011315137e+01,2.702203611701451402e-01
2.595523437000000176e-06,7.193619117868824731e+01,2.701818259705590641e-01
2.595531250000000036e-06,7.203576780216469899e+01,2.701432968294405490e-01
2.595539061999999999e-06,7.213264402826742128e+01,2.701047836049169093e-01
2.595546874999999859e-06,7.222663110831037159e+01,2.700662764322740994e-01
2.595554686999999821e-06,7.231754383372225448e+01,2.700277851640210947e-01
2.595562500000000105e-06,7.240520132267936049e+01,2.699892999410682393e-01
2.595570312000000067e-06,7.248942787114607711e+01,2.699508306103152733e-01
2.595578124999999927e-06,7.257005386878863362e+01,2.699123673182944327e-01
2.595585937000000313e-06,7.264691677666181135e+01,2.698739199062905603e-01
2.595593749999999750e-06,7.271986216500860678e+01,2.698354785264608924e-01
2.595601561999999712e-06,7.278874480155458571e+01,2.697970530144824797e-01
2.595609374999999996e-06,7.285342978905131872e+01,2.697586335281184078e-01
2.595617186999999958e-06,7.291379373928603513e+01,2.697202298974569201e-01
2.595625000000000242e-06,7.296972597542493588e+01,2.696818322858643979e-01
2.595632812000000204e-06,7.302112975338945944e+01,2.696434505178348928e-01
2.595640625000000064e-06,7.306792348190747077e+01,2.696050747623393029e-01
2.595648437000000027e-06,7.311004193530172302e+01,2.695667148382778766e-01
2.595656249999999887e-06,7.314743743379099783e+01,2.695283609202213659e-01
2.595664061999999849e-06,7.318008097648427679e+01,2.694900228214855420e-01
2.595671875000000133e-06,7.320796330849857725e+01,2.694516907222317403e-01
2.595679687000000095e-06,7.323109589858908919e+01,2.694133744302001365e-01
2.595687499999999955e-06,7.324951180439832399e+01,2.693750641311402072e-01
2.595695312000000341e-06,7.326326640859483064e+01,2.693367696272104261e-01
2.595703124999999778e-06,7.327243799701680871e+01,2.692984811097522968e-01
2.595710936999999740e-06,7.327712816172159194e+01,2.692602083753495856e-01
2.595718750000000024e-06,7.327746200757761130e+01,2.692219416209161165e-01
2.595726561999999986e-06,7.327358814276938404e+01,2.691836906374804883e-01
2.595734375000000270e-06,7.326567843927007573e+01,2.691454456275261253e-01
2.595742187000000232e-06,7.325392754853865540e+01,2.691072163765206304e-01
2.595750000000000092e-06,7.323855216400251322e+01,2.690689930925188045e-01
2.595757812000000055e-06,7.321979002736858888e+01,2.690307855554278094e-01
2.595765624999999915e-06,7.319789867550613849e+01,2.688173196365986062e-01
2.595773436999999877e-06,7.317315393645451138e+01,2.686042194606604316e-01
2.595781250000000161e-06,7.314584818292463808e+01,2.683914296661048526e-01
2.595789062000000123e-06,7.311628836132923936e+01,2.681790039219683619e-01
2.595796874999999983e-06,7.308479381480768211e+01,2.679668870444915085e-01
2.595804686999999946e-06,7.305169393110845988e+01,2.677551325354943779e-01
2.595812499999999806e-06,7.301732564212859700e+01,2.675436853881194010e-01
2.595820311999999768e-06,7.298203081126507641e+01,2.673325989377693390e-01
2.595828125000000052e-06,7.294615354808064467e+01,2.671218183536127611e-01
2.595835937000000014e-06,7.291003748822754460e+01,2.669113968054288577e-01
2.595843750000000298e-06,7.287402307990123518e+01,2.667012796375649586e-01
2.595851562000000260e-06,7.283844491903373353e+01,2.664915198549202002e-01
2.595859375000000121e-06,7.280362917266036504e+01,2.662820629762014391e-01
2.595867187000000083e-06,7.276989112677371452e+01,2.660729618421669995e-01
2.595874999999999943e-06,7.273753289542260347e+01,2.658641621450464343e-01
2.595882811999999905e-06,7.270684132023617963e+01,2.656557165622370764e-01
2.595890625000000189e-06,7.267808608830377182e+01,2.654475709586373577e-01
2.595898437000000151e-06,7.265151808547719270e+01,2.652397778490586666e-01
2.595906250000000012e-06,7.262736800562292672e+01,2.650322832702537434e-01
