Time_s,Noise_Fraction
2.545453124999999708e-06,7.996745075119814083e-02
2.545460937000000094e-06,7.995210444936773353e-02
2.545468749999999954e-06,7.993676207320750404e-02
2.545476561999999917e-06,7.992142754672371119e-02
2.545484375000000200e-06,7.990609694063841029e-02
2.545492187000000163e-06,7.989077417595259745e-02
2.545500000000000023e-06,7.987545532640474844e-02
2.545507811999999985e-06,7.986014430998990277e-02
2.545515624999999845e-06,7.994060971781011271e-02
2.545523436999999808e-06,8.002122710959790053e-02
2.545531250000000092e-06,8.010201761629968942e-02
2.545539062000000054e-06,8.018296105033638488e-02
2.545546875000000338e-06,8.026407863011508770e-02
2.545554687000000300e-06,8.034535008833502967e-02
2.545562499999999737e-06,8.042679673139868646e-02
2.545570312000000122e-06,8.050839821183686240e-02
2.545578124999999983e-06,8.059017592459545576e-02
2.545585936999999945e-06,8.067210944153360708e-02
2.545593750000000229e-06,8.075422024672865295e-02
2.545601562000000191e-06,8.083648783088744072e-02
2.545609375000000051e-06,8.091893376776294888e-02
2.545617187000000013e-06,8.100153746645211150e-02
2.545624999999999874e-06,8.108432059094571043e-02
2.545632811999999836e-06,8.116726246823832702e-02
2.545640625000000120e-06,8.125038485313890169e-02
2.545648437000000082e-06,8.133366699004326850e-02
2.545656249999999942e-06,8.141713072515031901e-02
2.545664062000000328e-06,8.150075521978854265e-02
2.545671874999999765e-06,8.158456241210992888e-02
2.545679686999999727e-06,8.166853137987603595e-02
2.545687500000000011e-06,8.175268415380980425e-02
2.545695311999999973e-06,8.183699972757524366e-02
2.545703125000000257e-06,8.192150022505294282e-02
2.545710937000000219e-06,8.200616455532909466e-02
2.545718750000000079e-06,8.209101493602455335e-02
2.545726562000000041e-06,8.217603019115003737e-02
2.545734374999999902e-06,8.226123263266811592e-02
2.545742186999999864e-06,8.234660099899401842e-02
2.545750000000000148e-06,8.243215769704777263e-02
2.545757812000000110e-06,8.256044871280422692e-02
2.545765624999999970e-06,8.268915617455414868e-02
2.545773436999999933e-06,8.281824900866893713e-02
2.545781249999999793e-06,8.294776215043515866e-02
2.545789061999999755e-06,8.307766434351056273e-02
2.545796875000000039e-06,8.320799075411355883e-02
2.545804687000000001e-06,8.333870994160201551e-02
2.545812500000000285e-06,8.346985730545508630e-02
2.545820312000000247e-06,8.360140121915528300e-02
2.545828125000000107e-06,8.373337731778890403e-02
2.545835937000000070e-06,8.386575378737012865e-02
2.545843749999999930e-06,8.399856650098540267e-02
2.545851561999999892e-06,8.413178345554118975e-02
2.545859375000000176e-06,8.426544076456422838e-02
2.545867187000000138e-06,8.439950623419550935e-02
2.545874999999999998e-06,8.453401622085401912e-02
2.545882811999999961e-06,8.466893833828254001e-02
2.545890624999999821e-06,8.480430918827845665e-02
2.545898436999999783e-06,8.494009619049147641e-02
2.545906250000000067e-06,8.507633619463991770e-02
2.545914062000000029e-06,8.521299642456649226e-02
2.545921875000000313e-06,8.535011398047356868e-02
2.545929687000000275e-06,8.548765588869315646e-02
2.545937499999999712e-06,8.562565950248844648e-02
